_id,cons,pros,comment,aspect,description,mainTheme,secondaryTheme,sentiment,stage,signal
406349460,"Из за такой приставки два WiFi роутера и пару сим карт поменял, всё платнопрактически, даже за деньги всё тормозит.",Упаковка как у iPhone),Сбер-цирк-разводняк,Упаковка,упаковка как у iPhone,Выбор и покупка,Внешний вид и ощущение качества,1,Выбор и покупка,Положительная оценка внешнего вида и сборки
406349460,"Из за такой приставки два WiFi роутера и пару сим карт поменял, всё платнопрактически, даже за деньги всё тормозит.",Упаковка как у iPhone),Сбер-цирк-разводняк,Совместимость с сетью,два Wi-Fi роутера и пару SIM-карт пришлось поменять,Выбор и покупка,Совместимость устройств и сценариев,-1,Выбор и покупка,Проблемы совместимости ТВ с устройствами или сервисами
406349460,"Из за такой приставки два WiFi роутера и пару сим карт поменял, всё платнопрактически, даже за деньги всё тормозит.",Упаковка как у iPhone),Сбер-цирк-разводняк,Производительность,тормозит даже при оплате,Системная производительность и управление устройством,Производительность системы,-1,Системная производительность и управление устройством,Низкая производительность системы
405753087,подключил работает минусов пока нет за месяц,отлично,доставка в срок упаковка норм премиум.подключил быстро на кухню жене. не хотел кабель тянуть.меню понятно ну и у меня телевизор в зале от сбер салют так что жене удобно а так в первый раз легко разберётся каждый.вообщем +100500 баллов,Доставка,доставка в срок,Доставка/распаковка,Сроки и организация доставки,1,Доставка/распаковка,Доставка в срок и удобная организация доставки
405753087,подключил работает минусов пока нет за месяц,отлично,доставка в срок упаковка норм премиум.подключил быстро на кухню жене. не хотел кабель тянуть.меню понятно ну и у меня телевизор в зале от сбер салют так что жене удобно а так в первый раз легко разберётся каждый.вообщем +100500 баллов,Упаковка,упаковка норм премиум,Доставка/распаковка,Состояние упаковки,1,Доставка/распаковка,Хорошее состояние упаковки
405753087,подключил работает минусов пока нет за месяц,отлично,доставка в срок упаковка норм премиум.подключил быстро на кухню жене. не хотел кабель тянуть.меню понятно ну и у меня телевизор в зале от сбер салют так что жене удобно а так в первый раз легко разберётся каждый.вообщем +100500 баллов,Простота подключения,подключил быстро,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
405753087,подключил работает минусов пока нет за месяц,отлично,доставка в срок упаковка норм премиум.подключил быстро на кухню жене. не хотел кабель тянуть.меню понятно ну и у меня телевизор в зале от сбер салют так что жене удобно а так в первый раз легко разберётся каждый.вообщем +100500 баллов,Интерфейс меню,меню понятно,Системная производительность и управление устройством,Навигация и логика интерфейса,1,Системная производительность и управление устройством,Удобная навигация и логика интерфейса
405753087,подключил работает минусов пока нет за месяц,отлично,доставка в срок упаковка норм премиум.подключил быстро на кухню жене. не хотел кабель тянуть.меню понятно ну и у меня телевизор в зале от сбер салют так что жене удобно а так в первый раз легко разберётся каждый.вообщем +100500 баллов,Совместимость с ТВ,телевизор в зале от сбер салют совместим,Выбор и покупка,Совместимость устройств и сценариев,1,Выбор и покупка,Успешная совместимость ТВ с устройствами
405753087,подключил работает минусов пока нет за месяц,отлично,доставка в срок упаковка норм премиум.подключил быстро на кухню жене. не хотел кабель тянуть.меню понятно ну и у меня телевизор в зале от сбер салют так что жене удобно а так в первый раз легко разберётся каждый.вообщем +100500 баллов,Удобство использования,легко разберется каждый,Системная производительность и управление устройством,Навигация и логика интерфейса,1,Системная производительность и управление устройством,Удобная навигация и логика интерфейса
406093412,,"отличная приставка, быстро подключили, не лагает.",,Подключение,быстро подключили,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
